NR_CONVENIO;ANO;UNID RESP;MODALIDADE;RP;VINCULAÇÃO;C / D;DESCRIÇÃO RP;AUTOR;PROPOSTA;PROCESSO;CNPJ;PROPONENTES;UF;SITUACAO;SITUACAO DE CONTRATACAO ATUAL;EMPENHADO;PUBLICACAO;OBJETO;CATEGORIA; VL_GLOBAL_CONV; VL_REPASSE_CONV; VL_CONTRAPARTIDA_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIA_LIMITE_PREST_CONTAS;SUB_ROGACAO;ESTADO;NR_EMENDA;NOME_PARLAMENTAR;BENEFICIARIO_EMENDA;IND_IMPOSITIVO;TIPO_PARLAMENTAR; VALOR_REPASSE_PROPOSTA_EMENDA; VALOR_REPASSE_EMENDA
882591;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;GIVAGO TENORIO / EMENDA 5;004682/2019;21000.015511/2019-14;12.375.994/0001-00;ASSOCIACAO DOS CRIADORES DE ALAGOAS;AL;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Apoio a Projetos de Desenvolvimento do Setor Agropecuário.;CAPACITAÇÃO; 300.000,00 ; 300.000,00 ; -   ;31/12/2019;10/4/2022;9/6/2022;NÃO;Alagoas;38780005;GIVAGO TENORIO;0;SIM;INDIVIDUAL;300000;300000
882642;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;CELSO MALDANER / EMENDA 1;000622/2019;21000.015541/2019-21;12.094.717/0001-29;COOPERATIVA DOS AGRICULTORES FAMILIARES DE SANTA HELENA - COOPASA;SC;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Aquisição de fertilizantes para distribuição aos agricultores associados da COOPASA.;INSUMOS; 100.000,00 ; 100.000,00 ; -   ;21/8/2019;3/9/2021;3/10/2021;NÃO;Santa Catarina;25690001;CELSO MALDANER;0;SIM;INDIVIDUAL;100000;100000
882704;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;CARLOS GOMES / EMENDA 1;002797/2019;21000.015482/2019-91;93.539.187/0001-87;MUNICIPIO DE CARLOS GOMES;RS;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;AQUISIÇÃO DE INSUMOS AGRÍCOLAS;INSUMOS; 240.000,00 ; 237.600,00 ; 2.400,00 ;21/8/2019;18/10/2021;17/11/2021;NÃO;Rio Grande do Sul;30670001;CARLOS GOMES;0;SIM;INDIVIDUAL;240000;237600
882839;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;DOMINGOS SAVIO / EMENDA 4;005237/2019;21000.015475/2019-99;18.291.377/0001-02;MUNICIPIO DE CARMO DO CAJURU;MG;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Aquisição de Insumos para Correção de Solo;INSUMOS; 129.270,00 ; 125.000,00 ; 4.270,00 ;22/8/2019;7/12/2021;6/1/2022;NÃO;Minas Gerais;27560004;DOMINGOS SAVIO;0;SIM;INDIVIDUAL;125000;125000
882858;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;CELSO MALDANER / EMENDA 1;005927/2019;21000.015486/2019-79;80.623.606/0001-12;MUNICIPIO DE IRACEMINHA;SC;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;AQUISIÇÃO DE SEMENTES;INSUMOS; 100.380,00 ; 100.000,00 ; 380,00 ;21/8/2019;9/4/2021;9/5/2021;NÃO;Santa Catarina;25690001;CELSO MALDANER;0;SIM;INDIVIDUAL;150000;100000
882866;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;EVANDRO ROMAN / EMENDA 2;004284/2019;21000.015521/2019-50;01.611.489/0001-09;MUNICIPIO DE CAMPINA DO SIMAO;PR;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Aquisição de insumos do tipo calcário para correção de solos;INSUMOS; 501.000,00 ; 500.000,00 ; 1.000,00 ;30/12/2019;10/7/2022;8/9/2022;NÃO;Paraná;30950002;EVANDRO ROMAN;0;SIM;INDIVIDUAL;500000;500000
882881;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;CELSO MALDANER / EMENDA 1;002597/2019;21000.015518/2019-36;01.612.844/0001-56;MUNICIPIO DE SALTINHO;SC;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;PROJETO DE MELHORAMENTO GENÉTICO DE GADO LEITERO, ATRAVÉS DA AQUISIÇÃO DE SÊMEN;INSUMOS; 155.000,00 ; 150.000,00 ; 5.000,00 ;21/8/2019;22/4/2022;22/5/2022;NÃO;Santa Catarina;25690001;CELSO MALDANER;0;SIM;INDIVIDUAL;150000;150000
882883;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;PEDRO UCZAI / EMENDA 4;005651/2019;21000.015582/2019-17;05.869.612/0001-39;ASSOCIACAO REGIONAL DE DESENVOLVIMENTO DA AGRICULTURA CAMPONESA;SC;Em execução;Em execução;Normal;sim;Realização do plantio de milho crioulo e varietal e de aveia crioula, destinado a multiplicação de sementes. Transporte, beneficiamento da produção e embalagem das sementes.;INSUMOS; 310.387,00 ; 310.387,00 ; -   ;20/8/2019;30/9/2023;30/10/2023;NÃO;Santa Catarina;28550004;PEDRO UCZAI;0;SIM;INDIVIDUAL;310387;310387
882884;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;WILSON FILHO / EMENDA 9;002543/2019;21000.015478/2019-22;08.701.708/0001-81;MUNICIPIO DE BARRA DE SAO MIGUEL;PB;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Realização do BARRA BODE 2019 - 11ª EDIÇÃO – Expofeira de Caprinos e Ovinos de Barra de São Miguel/PB.;EVENTO; 151.000,00 ; 150.000,00 ; 1.000,00 ;23/7/2019;23/12/2019;21/2/2020;NÃO;Paraíba;27160009;WILSON FILHO;0;SIM;INDIVIDUAL;150000;150000
882886;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;RICARDO BARROS / EMENDA 8;002057/2019;21000.025166/2019-27;75.371.401/0001-57;MUNICIPIO DE RONCADOR;PR;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Projeto de aquisição de insumos para distribuição aos pequenos agricultores familiares.;INSUMOS; 443.498,00 ; 400.000,00 ; 43.498,00 ;21/8/2019;19/6/2022;19/7/2022;NÃO;Paraná;33320008;RICARDO BARROS;0;SIM;INDIVIDUAL;400000;400000
